AirportKey,AirportCode,CityName,StateCode,StateName,Region,ReliabilityScore,FlightCount,MonthlyDelayRate
1cc67283c0bde6297dbf0f764cacf35c40c3be49191cff7d662ec69a441084b0,BQK,"Brunswick, GA",GA,Georgia,South,93.43,3444,0.11764705882352941
4270d85a706b51085c02105a4f0be60c8a0f0b96b121d552d5d8d8c91f6f7e5a,MSP,"Minneapolis, MN",MN,Minnesota,Midwest,90.62,464895,0.11426338883212117
60c5158ae1887e3e0f165da5dc9bec107e9b97aa1f8c3b7b3d4058e06d8dba6d,SPI,"Springfield, IL",IL,Illinois,Midwest,86.99,4743,0.2309941520467836
0ac62fe28ee4beb5dbde8fc4e609aa26716e286d9248f008242f6d05dd036079,ACV,"Arcata/Eureka, CA",CA,California,West,90.04,6564,0.17164179104477612
ae882563dcd48f3531a17463fab33b7c0e5832eac056e4626c75e451eada561c,BJI,"Bemidji, MN",MN,Minnesota,Midwest,92.68,2875,0.08627450980392157
c37490c37e59dcd512b46c04f5c303826020bea4508ab2322cb338f2a867cf65,PWM,"Portland, ME",ME,Maine,Northeast,88.26,42604,0.20089385474860336
00e2797388b8fad2ba99b9eb7af74b1e199358af2a7e51a377b923bc3756c2e9,SMF,"Sacramento, CA",CA,California,West,88.7,187075,0.1855146124523507
3e84136a4941084b28313573cae8b0253818ee5f65fc5eae71969625c9687162,MMH,"Mammoth Lakes, CA",CA,California,West,75.39,270,0.16049382716049382
1f483a66fe3118d99d4b0f90aee062d28aadfb0acf39b94252540ddbe65447ed,RDM,"Bend/Redmond, OR",OR,Oregon,West,91.56,30034,0.13661402864487698
291e7b99ff74904d8428bc9a6c67974b4349cfcc5bb2a03260e275b93d2440ad,SGF,"Springfield, MO",MO,Missouri,Midwest,88.21,33770,0.19980152166721799
c79d5be0fbe2f988159671498549090da36881589a0b61ab7426eb56fc84d0bf,TTN,"Trenton, NJ",NJ,New Jersey,Northeast,82.41,7662,0.25622775800711745
ac543f650963fb7ea5f3facc524af25aa959cb730ed69bf616b7f2b9035d3d0f,IFP,"Bullhead City, AZ",AZ,Arizona,West,0.0,1,1.0
738a6a9f214225742f78a692c049f03960be54aee37083d5731e72b0228d23ef,STC,"St. Cloud, MN",MN,Minnesota,Midwest,83.15,520,0.14285714285714285
